ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
southafrica-basson,S v. Basson (South Africa — Project Coast),CCT 30/03,South Africa,Constitutional Court of South Africa,2005-09-09,2005,South Africa / Namibia,Apartheid-era murder conspiracy abroad; war-related crimes,Territorial / extraterritorial conspiracy,criminal,Quashing of charges overturned; retrial ordered on the Namibia conspiracy counts,landmark_ruling,No,English,,"The Constitutional Court rulings in the prosecution of Dr Wouter Basson, head of the apartheid regime’s chemical and biological weapons programme (Project Coast): South African courts had jurisdiction over the conspiracy to murder SWAPO detainees in Namibia, with the Court invoking South Africa’s international-law duties to prosecute.",Jurisdiction over cross-border conspiracy; international-law duties inform domestic prosecution of apartheid-era crimes.,http://hdl.handle.net/20.500.12144/2185,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
israel-berenblat-kapo,Berenblat v. Attorney-General (Israel — kapo trials),Crim. A. 77/64,Israel,Supreme Court of Israel (Court of Criminal Appeal),1964-05-22,1964,Poland (occupied),Nazi and Nazi Collaborators (Punishment) Law offences,Retroactive extraterritorial statute,criminal,Conviction overturned on appeal,acquittal,No,Hebrew,,"Leading appeal in Israel’s kapo trials: Hirsch Berenblat, commander of the Jewish police in the Będzin ghetto, saw his conviction under the Nazi and Nazi Collaborators (Punishment) Law overturned — the Court cautioning against judging the conduct of persecuted functionaries by ordinary standards.",Limits of collaborator liability; evidentiary caution in atrocity trials of persecuted intermediaries.,https://versa.cardozo.yu.edu/opinions/berenblat-v-attorney-general-0,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
israel-pcati-targeted-killings,Public Committee Against Torture in Israel v. Government of Israel (targeted killings),HCJ 769/02,Israel,Supreme Court of Israel sitting as High Court of Justice,2006-12-14,2006,Israel / Occupied Palestinian Territory,Legality of targeted killings under IHL (judicial review),High Court of Justice review,civil,Framework set: no blanket legality or illegality; case-by-case IHL constraints,landmark_ruling,No,Hebrew,,"The targeted-killings judgment: a national supreme court defining the IHL rules — direct participation in hostilities, proportionality, investigation duties — that determine when a killing would amount to a war crime.",Civilians lose protection only for such time as they take direct part in hostilities; independent ex post investigation required.,https://versa.cardozo.yu.edu/opinions/public-committee-against-torture-v-government,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
colombia-c-080-18-jep,Sentencia C-080/18 (Colombia — constitutional review of the JEP statute),C-080/18,Colombia,Corte Constitucional de Colombia,2018-08-15,2018,Colombia,Framework for war crimes and crimes against humanity of the armed conflict,Territorial (transitional justice),constitutional,Statutory law of the JEP upheld with conditions,landmark_ruling,No,Spanish,,"The constitutional review of the JEP’s statutory law: no amnesty for international crimes, conditionality of benefits, and the architecture of victims’ participation in the transitional jurisdiction. Bridges the corpus’s national layer and the tribunals layer (JEP).",Amnesty limits for international crimes; victims’ rights as a constitutional axis of transitional justice; command responsibility standard.,https://www.corteconstitucional.gov.co/relatoria/2018/C-080-18.htm,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
france-barbie,Klaus Barbie (France — Lyon Gestapo chief),85-95.166,France,Cour d’assises du Rhône / Cour de cassation,1987-07-04,1987,France (occupied),"Crimes against humanity (deportations, the Izieu children, persecution of resistants)",Territorial,criminal,Life imprisonment (4 July 1987); pourvoi rejected 3 June 1988,conviction,No,French,,"The first French crimes-against-humanity trial: Klaus Barbie, head of the Lyon Gestapo, brought from Bolivia in 1983, was convicted in 1987. The Cour de cassation’s 20 Dec 1985 arrêt defined crimes against humanity as inhumane acts and persecutions committed in the name of a State practising a policy of ideological hegemony — extending protection to resistance members.",Definition of crimes against humanity (20 Dec 1985); imprescriptibility; male captus (disguised extradition) no bar to trial.,https://www.courdecassation.fr/decision/6079a8839ba5988459c4dbc0,,,,,,,,3,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
france-touvier,"Paul Touvier (France — Milice de Lyon, Rillieux-la-Pape)",94-82.590,France,Cour d’assises des Yvelines / Cour de cassation,1994-04-20,1994,France (occupied),"Complicity in crimes against humanity (execution of seven Jewish hostages at Rillieux-la-Pape, 29 June 1944)",Territorial,criminal,Life imprisonment (20 April 1994); pourvoi rejected 1 June 1995,conviction,No,French,,"The first final French conviction of a Frenchman for complicity in crimes against humanity: Paul Touvier, intelligence chief of the Lyon Milice, for the Rillieux-la-Pape executions.",Complicity in CAH of a Vichy militia official acting in concert with the Gestapo (state practising a policy of ideological hegemony).,https://www.legifrance.gouv.fr/juri/id/JURITEXT000007065773,,,,,,,,2,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
france-papon,Maurice Papon (France — Bordeaux deportations),96-84.822,France,Cour d’assises de la Gironde / Cour de cassation,1998-04-02,1998,France (occupied),"Complicity in crimes against humanity (arrests and internments preceding the deportation of Jews from Bordeaux, 1942-1944)",Territorial,criminal,10 years imprisonment (2 April 1998),conviction,No,French,,"Secretary-general of the Gironde prefecture under Vichy, later Paris police prefect and budget minister, Papon was convicted in 1998 for complicity in the deportation of Jews from Bordeaux — the trial of the French administration’s role in the Shoah.",Complicity in CAH does not require the accomplice’s adherence to the principal perpetrators’ ideology (Cass. crim. 23 Jan 1997).,https://www.legifrance.gouv.fr/juri/id/JURITEXT000007066186,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
germany-groening,Oskar Gröning (Germany — the “bookkeeper of Auschwitz”),3 StR 49/16,Germany,Landgericht Lüneburg / Bundesgerichtshof,2015-07-15,2015,Poland (occupied),"Accessory to murder in 300,000 cases (Auschwitz)",Active personality,criminal,"4 years imprisonment; revision dismissed (BGH, 20 Sept 2016); died 2018 before serving",conviction,No,German,,"SS bookkeeper at Auschwitz, convicted in 2015 as an accessory to murder for camp service during the Hungarian deportations. The BGH’s 2016 decision cemented the post-Demjanjuk doctrine: any function sustaining an extermination camp’s machinery grounds accessory liability.",Accessory to murder through service in an extermination camp (Leitsatz: “Beihilfe zum Mord durch Dienst im Konzentrationslager Auschwitz”).,https://www.rechtsprechung-im-internet.de/jportal/?quelle=jlink&docid=KORE301992016&psml=bsjrsprod.psml,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
germany-hanning,Reinhold Hanning (Germany — Auschwitz guard),4 Ks 45 Js 3/13-9/15,Germany,Landgericht Detmold,2016-06-17,2016,Poland (occupied),"Accessory to murder in 170,000 cases",Active personality,criminal,5 years imprisonment; died 2017 before the revision was decided,conviction,No,German,,"SS guard at Auschwitz I, convicted at 94 with numerous survivors as co-plaintiffs. The full judgment is published on the official NRW portal.",Camp-service accessory liability applied to guard duty (tateinheitliche Beihilfe zum Mord).,https://nrwe.justiz.nrw.de/lgs/detmold/lg_detmold/j2016/4_Ks_45_Js_3_13_9_15_Urteil_20160617.html,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
germany-furchner,Irmgard Furchner (Germany — Stutthof typist),5 StR 326/23,Germany,Landgericht Itzehoe / Bundesgerichtshof,2022-12-20,2022,Poland (occupied),"Accessory to murder in over 10,000 cases (juvenile law)",Active personality,criminal,"2-year suspended juvenile sentence; revision dismissed (BGH, 20 Aug 2024)",conviction,No,German,,"Typist to the Stutthof commandant, tried under juvenile law (aged 18-19 at the time), convicted in 2022. The BGH’s 2024 judgment — the first extending camp-service accessory liability to a civilian employee — is probably the last NS-crimes ruling ever.",Accessory liability of a civilian camp employee; the closing chapter of German NS prosecutions.,https://testphase.rechtsinformationen.bund.de/suche/KORE704742024,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
italy-priebke,Erich Priebke (Italy — Fosse Ardeatine massacre),sent. 298/2000,Italy,Tribunale militare di Roma / Corte militare di appello / Corte Costituzionale,1998-03-07,1998,Italy (occupied Rome),"War crimes (participation in the Ardeatine Caves massacre, 335 victims, 24 March 1944)","Territorial (after extradition from Argentina, 1995)",criminal,Life imprisonment (final 1998); constitutional amnesty challenge 2000,conviction,No,Italian,,Former SS captain extradited from Argentina in 1995 and finally sentenced to life for the Fosse Ardeatine massacre. The Corte Costituzionale ruled in 2000 on the 1953 amnesty raised in his proceedings — the constitutional layer of Italy’s late WWII prosecutions.,Imprescriptibility of war crimes; superior orders no defence; amnesty inapplicability.,https://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI:IT:COST:2000:298,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
italy-sentenza-238-2014,Sentenza 238/2014 (Italy — state immunity vs. Nazi-era victims),sent. 238/2014,Italy,Corte Costituzionale,2014-10-22,2014,Italy / Germany (WWII deportation and forced labour),War crimes and crimes against humanity (civil reparations claims),Territorial civil jurisdiction (Ferrini doctrine),civil,ICJ immunity ruling denied effect in the Italian legal order,landmark_ruling,No,Italian,,"The Constitutional Court refused to give effect to the ICJ’s Jurisdictional Immunities judgment insofar as it denies victims of Nazi-era international crimes access to a judge — the most consequential national ruling on immunity versus victims’ rights, keeping the Ferrini line of civil claims against Germany alive.",Access to court (Arts. 2 and 24 Const.) as a supreme constitutional principle overriding customary state immunity for international crimes.,https://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI:IT:COST:2014:238,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
canada-mugesera,"Mugesera v. Canada (Rwanda — incitement, removal)",2005 SCC 40,Canada,Supreme Court of Canada / Federal Court,2005-06-28,2005,Rwanda,"Incitement to genocide, murder and hatred; crimes against humanity (immigration law)",Immigration inadmissibility,civil,Removal upheld; deported to Rwanda January 2012,removal,No,English/French,,Léon Mugesera’s 1992 speech was held by the Supreme Court of Canada to constitute incitement to genocide and a crime against humanity for inadmissibility purposes — the leading national ruling on speech as an international crime outside the criminal process. The Federal Court line through his 2012 removal is on the official portal.,Speech as incitement to genocide and CAH; standard of “reasonable grounds to believe” in immigration proceedings.,https://decisions.fct-cf.gc.ca/fc-cf/decisions/en/item/60372/index.do,,,,,,,,2,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
netherlands-van-anraat,Frans van Anraat (Netherlands — chemical precursors to Saddam’s Iraq),ECLI:NL:HR:2009:BG4822,Netherlands,Gerechtshof Den Haag / Hoge Raad,2007-05-09,2007,Iraq (Halabja and other Kurdish areas; Iran),Complicity in war crimes (supply of thiodiglycol for mustard gas); genocide complicity acquitted,Active personality,criminal,17 years imprisonment (16.5 after cassation),conviction,No,Dutch,,"Dutch businessman who supplied thousands of tonnes of thiodiglycol used for Iraqi mustard gas deployed against Kurdish civilians, including at Halabja. Convicted of complicity in war crimes; acquitted of genocide complicity for lack of proven knowledge of genocidal intent. The leading business-accessory case for international crimes.",Accessory liability of a supplier for war crimes; knowledge standards distinguishing war-crimes from genocide complicity.,https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:HR:2009:BG4822,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
lithuania-drelingas,Stanislovas Drėlingas (Lithuania — genocide of partisans),2K-P-18-648/2016,Lithuania,Kaunas Regional Court / Lietuvos Aukščiausiasis Teismas,2016-04-12,2016,Lithuania (Soviet-occupied),Genocide (participation in the 1956 capture of partisan leader Adolfas Ramanauskas-Vanagas),Territorial (post-occupation genocide statute),criminal,5 years imprisonment; conviction upheld by the Supreme Court plenary,conviction,No,Lithuanian,,Former KGB officer convicted of genocide for his role in the capture of partisan leader Ramanauskas-Vanagas. The Supreme Court plenary held that the partisans and their supporters constituted a significant part of the Lithuanian national group — a holding the ECtHR upheld in Drėlingas v. Lithuania (2019).,National group “in part” may be defined through a politically salient subgroup (partisans); foreseeability of retroactive genocide liability.,https://liteko.teismai.lt/viesasprendimupaieska/paieska.aspx?detali=2&bnr=2K-P-18-648/2016,,,,,,,,2,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
